Display Name,User Principal Name,Monthly credit limit,Monthly credits used,User ID,Microsoft 365 Copilot license,Last activity date,Session Count,Agents and Services
Sam Martin,user000369@example.com,350,250,u-a682e7f41e3e,Yes,2026-01-10,14,Cowork; Analyst; Researcher
Logan Martin,user000370@example.com,600,488,u-bc24d3767861,No,2025-12-22,27,Cowork; Work IQ
Skyler Garcia,user000371@example.com,600,404,u-d2c033457194,Yes,2025-12-06,27,Cowork; Analyst
Sutton Lopez,user000372@example.com,500,656,u-b010576bc257,Yes,2025-12-20,36,Cowork; Analyst; Researcher
Parker Davis,user000373@example.com,400,352,u-d2c81a149f96,Yes,2026-01-12,29,Cowork; Work IQ; Researcher
Blake Davis,user000374@example.com,450,510,u-e5dff3679e21,Yes,2025-12-14,32,Cowork; Researcher
Alex Chen,user000375@example.com,400,509,u-c4b1c6c7ce67,Yes,2026-01-15,30,Cowork
Blake Harris,user000377@example.com,450,298,u-512b4ab04196,Yes,2025-11-30,21,Cowork; Work IQ
Drew King,user000378@example.com,450,182,u-e393d767912f,Yes,2025-11-10,13,Cowork; Work IQ
Sloan Jackson,user000380@example.com,400,332,u-640aae248186,Yes,2026-01-22,21,Cowork; Work IQ; Researcher
Rowan Brown,user000382@example.com,600,200,u-57a7bc443405,Yes,2025-12-28,13,Cowork
Cameron Nguyen,user000383@example.com,400,710,u-dd32b16656c4,Yes,2025-12-16,59,Cowork; Work IQ; Researcher
Emerson Jackson,user000385@example.com,600,616,u-a83b6206a224,Yes,2025-12-12,51,Cowork
Riley Taylor,user000387@example.com,450,565,u-684d99146eff,Yes,2025-12-27,47,Cowork; Researcher
Devon Patel,user000388@example.com,600,248,u-0eb315117079,Yes,2025-11-05,13,Cowork; Work IQ; Researcher
Riley Hall,user000393@example.com,600,360,u-0f0dbab623fd,Yes,2026-01-07,22,Cowork; Work IQ; Researcher
Casey Williams,user000394@example.com,500,570,u-39d47ff820a0,Yes,2025-12-01,48,Cowork
Ellis Lee,user000398@example.com,400,587,u-d6c106e33181,Yes,2025-12-07,42,Cowork; Work IQ
Sage Allen,user000399@example.com,450,283,u-1cda00ff7f22,Yes,2026-01-21,15,Cowork; Analyst
Kendall Davis,user000400@example.com,350,484,u-190f1bb54c20,Yes,2026-01-08,35,Cowork; Researcher
Sloan Moore,user000401@example.com,600,297,u-2257b3404206,No,2026-01-13,23,Cowork; Researcher
Reese Garcia,user000402@example.com,500,234,u-6160177fb994,No,2025-12-31,14,Cowork; Analyst; Researcher
Devon Moore,user000404@example.com,350,275,u-ac95310316f1,Yes,2026-01-10,23,Cowork; Researcher
Drew Patel,user000405@example.com,350,649,u-1f3809cafdf0,Yes,2025-11-12,46,Cowork; Analyst
Rowan Allen,user000407@example.com,400,453,u-76e83c924904,Yes,2025-11-09,24,Cowork
Ellis Lopez,user000410@example.com,400,435,u-7220ebd43cb9,Yes,2025-12-06,31,Cowork
Marlowe Williams,user000411@example.com,600,181,u-ceb1abb62e43,Yes,2025-11-22,11,Cowork; Analyst
Emerson Thomas,user000413@example.com,350,823,u-d061587a8f2f,Yes,2026-01-17,48,Cowork; Analyst
Sloan Thomas,user000416@example.com,600,631,u-18f1510fbe84,Yes,2025-11-05,33,Cowork; Researcher
Ellis Lopez,user000417@example.com,600,262,u-1041b2ac9cc7,Yes,2026-01-01,22,Cowork
Jordan Chen,user000418@example.com,500,252,u-dbdcc9722d2f,Yes,2026-01-23,14,Cowork; Work IQ
Blake Miller,user000419@example.com,500,174,u-5bf7073a29a1,Yes,2025-11-11,10,Cowork; Work IQ; Researcher
Phoenix Hill,user000420@example.com,500,562,u-63d2b0dcade4,Yes,2025-11-01,43,Cowork
Casey Jackson,user000421@example.com,500,156,u-cf183b2b6413,No,2025-11-27,12,Cowork; Analyst; Researcher
Morgan Walker,user000423@example.com,350,431,u-1585f189959f,Yes,2025-12-19,36,Cowork; Analyst; Researcher
Morgan Davis,user000424@example.com,500,441,u-db0246fb8ce1,Yes,2025-11-20,29,Cowork; Researcher
Sloan White,user000425@example.com,350,239,u-e49f0f748042,No,2025-11-01,13,Cowork; Researcher
Phoenix Williams,user000430@example.com,600,504,u-be400f6367a3,Yes,2025-12-17,28,Cowork; Analyst
Taylor Nguyen,user000431@example.com,450,517,u-34abdf7c4ed6,Yes,2026-01-10,34,Cowork; Work IQ
Parker Patel,user000432@example.com,500,448,u-9c12a8b3badc,Yes,2025-11-20,34,Cowork; Work IQ
Cameron Hill,user000434@example.com,600,470,u-eaa9386cd413,Yes,2025-12-05,26,Cowork
Blake Thomas,user000435@example.com,400,337,u-fa19f9d366ee,Yes,2025-11-11,26,Cowork
Cameron Jones,user000436@example.com,600,394,u-21aa455d6444,Yes,2025-12-29,26,Cowork; Researcher
Avery Walker,user000438@example.com,600,564,u-9bc5619f49d0,Yes,2025-11-15,31,Cowork; Analyst; Researcher
Sage King,user000439@example.com,350,524,u-fea7c4b8df6b,Yes,2025-12-29,28,Cowork
Sloan Harris,user000441@example.com,350,188,u-d519926798b9,Yes,2025-12-28,14,Cowork; Researcher
Quinn White,user000442@example.com,400,336,u-82d41374dd12,Yes,2025-12-24,24,Cowork; Work IQ
Sam King,user000443@example.com,600,382,u-74ed47cc81a2,Yes,2025-11-18,24,Cowork; Work IQ; Researcher
Rowan Lopez,user000446@example.com,500,228,u-677ea2374a17,Yes,2025-12-10,13,Cowork
Jamie Hill,user000447@example.com,600,416,u-2a0a7582b157,Yes,2025-12-07,35,Cowork; Analyst
Jordan White,user000448@example.com,600,724,u-f000a2f266f0,Yes,2025-11-05,43,Cowork; Work IQ; Researcher
Morgan Thomas,user000449@example.com,600,428,u-7861868e6e9b,Yes,2025-11-18,27,Cowork; Work IQ; Researcher
Emerson Jackson,user000450@example.com,350,618,u-06595fed495e,Yes,2025-12-15,48,Cowork; Analyst; Researcher
Harper Harris,user000452@example.com,400,461,u-daeea306d06b,Yes,2025-11-01,35,Cowork; Analyst; Researcher
Parker King,user000453@example.com,450,585,u-8c4c0645f54e,Yes,2025-11-22,49,Cowork; Work IQ; Researcher
Blake Thomas,user000455@example.com,500,458,u-302e1706a9a7,Yes,2025-12-24,27,Cowork; Analyst
Sloan Garcia,user000456@example.com,600,95,u-659dd3659557,Yes,2025-11-04,6,Cowork; Work IQ
Sam Allen,user000457@example.com,600,138,u-7c7ed3f56fea,Yes,2025-11-22,12,Cowork
Marlowe Allen,user000459@example.com,450,539,u-c51958d34d7b,Yes,2025-12-11,45,Cowork; Researcher
Cameron Thomas,user000460@example.com,600,614,u-9983e8a04259,Yes,2025-11-09,51,Cowork
Sloan Hall,user000463@example.com,450,537,u-c5decf78fe88,Yes,2025-11-08,34,Cowork; Work IQ
Harper Smith,user000464@example.com,600,386,u-6b0a16225721,Yes,2025-12-18,26,Cowork
Skyler Davis,user000466@example.com,500,383,u-22c95cdade0f,Yes,2026-01-10,20,Cowork
Jordan White,user000467@example.com,500,334,u-dc5d772487d0,Yes,2025-11-27,20,Cowork; Work IQ; Researcher
Casey Nguyen,user000468@example.com,450,501,u-dafd7d16037e,Yes,2025-11-09,26,Cowork
Logan Garcia,user000470@example.com,600,384,u-911d93a97e8a,Yes,2026-01-16,20,Cowork; Work IQ
Ellis Miller,user000471@example.com,400,398,u-497d88c2f6b4,Yes,2025-12-19,21,Cowork
Phoenix Allen,user000472@example.com,600,523,u-bd83b46a529a,Yes,2025-12-10,33,Cowork; Work IQ
Logan Miller,user000473@example.com,600,193,u-187c4f2746a4,Yes,2026-01-23,11,Cowork; Researcher
Skyler Wilson,user000474@example.com,500,390,u-387c8767485d,Yes,2025-11-02,22,Cowork; Work IQ; Researcher
Harper Thompson,user000476@example.com,500,677,u-747bbaabcd36,Yes,2025-11-18,45,Cowork
Parker Anderson,user000477@example.com,350,477,u-7b9fd18e0a82,Yes,2025-12-03,25,Cowork
Sutton Nguyen,user000478@example.com,450,299,u-74cc582b502e,Yes,2025-11-17,17,Cowork; Work IQ; Researcher
Sam Young,user000479@example.com,500,388,u-d12fbabb6598,Yes,2025-12-29,26,Cowork; Work IQ
Ellis Smith,user000481@example.com,600,424,u-a31780d62e60,Yes,2025-12-30,35,Cowork; Researcher
Kendall Jackson,user000482@example.com,500,501,u-2c90377b28ef,Yes,2026-01-11,33,Cowork
Logan Davis,user000483@example.com,500,281,u-6f57cb938370,Yes,2025-12-14,19,Cowork; Analyst; Researcher
Casey Lee,user000484@example.com,500,153,u-b3744f8dd47a,No,2025-11-09,8,Cowork; Analyst; Researcher
Rowan Lee,user000485@example.com,500,512,u-79f426ca219e,Yes,2025-12-09,28,Cowork
Devon Thompson,user000486@example.com,450,232,u-0513d6f0f21c,Yes,2025-11-03,17,Cowork
Kendall Thomas,user000489@example.com,350,512,u-fa743ae64f1c,Yes,2025-11-12,32,Cowork
Sage Johnson,user000492@example.com,350,421,u-7fe9584912d7,Yes,2025-11-26,30,Cowork; Work IQ; Researcher
Emerson Jackson,user000493@example.com,500,623,u-893689d9fa47,No,2025-11-30,44,Cowork; Work IQ
Casey Martin,user000494@example.com,500,583,u-be9160e424c6,Yes,2026-01-05,45,Cowork; Work IQ
Marlowe Hall,user000495@example.com,500,414,u-2c91e9800bee,Yes,2026-01-21,32,Cowork; Analyst
Phoenix Lopez,user000496@example.com,600,619,u-89bb9dd7aaa2,Yes,2026-01-03,41,Cowork; Researcher
Alex Brown,user000497@example.com,450,724,u-d975235eb9e7,Yes,2026-01-11,40,Cowork; Analyst; Researcher
Blake Garcia,user000500@example.com,600,491,u-a5a4801bd011,Yes,2026-01-24,38,Cowork; Analyst; Researcher
Sloan Martin,user000501@example.com,450,644,u-77f1dbc62d76,Yes,2025-12-19,40,Cowork; Work IQ
Sloan Chen,user000502@example.com,600,281,u-2ef9e12a35a6,Yes,2026-01-07,16,Cowork; Work IQ
Rowan Chen,user000504@example.com,350,468,u-85517df2277c,No,2026-01-10,39,Cowork; Analyst; Researcher
Sutton Lopez,user000505@example.com,350,261,u-1eaf46dbf77d,Yes,2026-01-15,15,Cowork; Analyst; Researcher
Hayden Harris,user000506@example.com,600,341,u-028b9d62c785,Yes,2026-01-28,24,Cowork; Analyst
Blake Taylor,user000507@example.com,400,573,u-392b8cdc18cb,Yes,2026-01-14,30,Cowork; Researcher
Riley Johnson,user000508@example.com,600,671,u-967a8c1bcff3,Yes,2026-01-27,45,Cowork; Work IQ; Researcher
Finley Garcia,user000509@example.com,350,406,u-4c012b5ae7f3,Yes,2025-12-13,24,Cowork; Researcher
Avery Williams,user000510@example.com,450,439,u-3d2e9b632043,Yes,2025-12-09,34,Cowork
Alex King,user000513@example.com,600,343,u-d0657946bf7c,Yes,2025-12-28,26,Cowork
Taylor Thomas,user000514@example.com,500,260,u-b9aa10904499,Yes,2026-01-14,19,Cowork; Analyst
Logan Miller,user000515@example.com,600,502,u-ef8211cd0b02,Yes,2025-11-15,31,Cowork; Analyst; Researcher
Marlowe Young,user000519@example.com,600,351,u-0ca8919ff0cd,Yes,2026-01-12,23,Cowork; Analyst
Logan Jones,user000520@example.com,400,278,u-b26953222194,Yes,2025-12-16,23,Cowork
Drew Miller,user000521@example.com,350,548,u-98676507f0f5,Yes,2025-12-05,34,Cowork; Analyst
Drew Lee,user000522@example.com,400,250,u-65791b5347b2,No,2025-12-11,16,Cowork; Researcher
Rowan Patel,user000523@example.com,600,280,u-24480ebfb487,Yes,2025-11-22,15,Cowork; Researcher
Kendall Williams,user000524@example.com,450,461,u-fcdac8779d6d,No,2025-12-14,31,Cowork; Analyst; Researcher
Taylor Thomas,user000527@example.com,600,403,u-810fa6f75b80,Yes,2025-10-31,31,Cowork; Analyst; Researcher
Devon Walker,user000528@example.com,600,631,u-3d53d29c9f91,Yes,2025-11-15,42,Cowork; Analyst; Researcher
Reese Miller,user000530@example.com,400,426,u-8926ab9c8036,Yes,2025-11-09,25,Cowork
Quinn Jackson,user000531@example.com,450,566,u-b879143a0f2f,No,2025-10-29,47,Cowork; Work IQ
Emerson Thomas,user000532@example.com,400,401,u-83f4bc500419,Yes,2026-01-07,25,Cowork; Researcher
Taylor Wilson,user000533@example.com,400,130,u-e3f71b7b5f1e,Yes,2025-12-07,9,Cowork; Analyst; Researcher
Marlowe Patel,user000535@example.com,450,251,u-4c1559531ca1,Yes,2025-12-25,15,Cowork; Analyst; Researcher
Jordan Lopez,user000537@example.com,600,320,u-fe1b958fd4b8,Yes,2025-11-15,17,Cowork; Work IQ; Researcher
Sam Jones,user000538@example.com,600,201,u-db81adc4919b,Yes,2025-11-24,11,Cowork; Researcher
Rowan Hill,user000539@example.com,400,410,u-bdadf7a38674,Yes,2026-01-18,22,Cowork; Analyst; Researcher
Emerson White,user000540@example.com,350,359,u-1ffc049d6d85,Yes,2026-01-27,30,Cowork; Work IQ; Researcher
Logan Thomas,user000541@example.com,400,340,u-4c21d3119648,Yes,2026-01-07,18,Cowork; Researcher
Reese Harris,user000542@example.com,350,191,u-5c7df60f58d1,Yes,2025-11-18,15,Cowork
Cameron Lopez,user000543@example.com,600,318,u-45cf8146564a,No,2025-12-25,23,Cowork; Work IQ; Researcher
Morgan Chen,user000544@example.com,500,528,u-894a683756e4,Yes,2025-11-25,44,Cowork; Analyst
Riley Lee,user000545@example.com,500,399,u-cf6ea5601958,Yes,2025-11-13,31,Cowork; Work IQ; Researcher
Parker Hall,user000546@example.com,350,639,u-ec59f00d635e,Yes,2025-12-23,40,Cowork; Work IQ
Phoenix Martin,user000548@example.com,350,645,u-7a800250399e,Yes,2025-12-30,38,Cowork
Skyler Young,user000550@example.com,400,520,u-eb5dbc72dcea,Yes,2025-11-03,43,Cowork; Analyst; Researcher
Sloan Lopez,user000551@example.com,600,603,u-1ed387c7fefb,No,2025-11-01,34,Cowork
Sam Harris,user000552@example.com,500,528,u-097837fc9039,Yes,2025-12-02,44,Cowork
Jordan Thomas,user000553@example.com,350,427,u-04d2123207ee,Yes,2025-11-18,28,Cowork
Ellis Garcia,user000554@example.com,600,565,u-6dbeb9656a26,No,2026-01-20,40,Cowork; Work IQ
Alex Patel,user000555@example.com,400,509,u-00e625917711,Yes,2025-11-08,30,Cowork
Avery Thomas,user000557@example.com,450,284,u-f6a2f402806c,Yes,2025-12-19,18,Cowork; Work IQ; Researcher
Logan Johnson,user000559@example.com,400,383,u-821e7731c4d8,Yes,2025-12-13,24,Cowork; Analyst; Researcher
Jamie Brown,user000561@example.com,500,602,u-82c1906d8239,No,2026-01-28,40,Cowork; Researcher
Jamie Johnson,user000563@example.com,600,597,u-3653b466b654,Yes,2025-11-14,31,Cowork; Analyst; Researcher
Quinn Smith,user000564@example.com,450,357,u-cc6953992417,Yes,2026-01-10,21,Cowork; Researcher
Hayden Patel,user000565@example.com,600,566,u-51cc2119a4a8,Yes,2026-01-17,31,Cowork; Work IQ; Researcher
Hayden Miller,user000566@example.com,400,212,u-09282ebaf510,No,2025-12-11,15,Cowork; Work IQ
Harper Lee,user000567@example.com,600,369,u-cbd3d632dca6,Yes,2025-10-29,22,Cowork
Jamie Davis,user000568@example.com,450,478,u-6b0d1c362a2a,Yes,2025-11-13,25,Cowork
