userPrincipalName,displayName,department,jobTitle,jobFamily,city,country,costCenter,manager,businessUnit,companyName
bartholomewdunmore@example.com,"Dunmore, Bartholomew M",Sales (Employer Group),Renewal Manager,Sales & Accounts,"Atlanta, GA",US,CC-SLES-1836,sales.mgr01@example.com,Corporate Functions,Contoso Ltd
beatrixvoskuijlen@example.com,"Voskuijlen, Beatrix D",Engineering,Eng Manager,Management & Leadership,Dublin,IE,CC-ENGR-9674,engineering.mgr03@example.com,Technology,Contoso Ltd
lachlanjessamine@example.com,"Jessamine, Lachlan E",Member Services,Quality Analyst,Member & Customer Support,"Nashville, TN",US,CC-MBRS-1678,member.mgr02@example.com,Health Services,Contoso Ltd
arabellawetherby@example.com,"Wetherby, Arabella P",Legal & Compliance,Privacy Officer,Corporate (HR/Legal/Mktg),"Atlanta, GA",US,CC-LEGL-2668,legal.mgr02@example.com,Corporate Functions,Contoso Ltd
raffertydarlington@example.com,"Darlington, Rafferty W",Claims Processing,Claims Auditor,Claims & Operations,Manila,PH,CC-CLMS-9685,claims.mgr03@example.com,Insurance Operations,Contoso Ltd
thibaultgrimsby@example.com,"Grimsby, Thibault B",Member Services,Quality Analyst,Member & Customer Support,"Atlanta, GA",US,CC-MBRS-1678,member.mgr02@example.com,Health Services,Contoso Ltd
octavianquennell@example.com,"Quennell, Octavian N",IT Service Desk,Tier 2 Tech,Engineering & IT,Manila,PH,CC-ITSD-8003,it.mgr01@example.com,Technology,Contoso Ltd
philippayelverton@example.com,"Yelverton, Philippa P",Member Services,Quality Analyst,Member & Customer Support,"Hartford, CT",US,CC-MBRS-1678,member.mgr02@example.com,Health Services,Contoso Ltd
ignatiusfotheringham@example.com,"Fotheringham, Ignatius R",Member Services,Quality Analyst,Member & Customer Support,"Minnetonka, MN",US,CC-MBRS-1678,member.mgr01@example.com,Health Services,Contoso Ltd
luciussatterthwaite3@example.com,"Satterthwaite, Lucius T",Finance,Financial Analyst,Finance & Actuarial,"Hartford, CT",US,CC-FINX-3369,finance.mgr01@example.com,Corporate Functions,Contoso Ltd
endellionpennington@example.com,"Pennington, Endellion G",Product Management,Group PM,Product & Program,Dublin,IE,CC-PROD-2341,product.mgr01@example.com,Technology,Contoso Ltd
thibaultivorson@example.com,"Ivorson, Thibault P",Engineering,SRE,Engineering & IT,"Atlanta, GA",US,CC-ENGR-9639,engineering.mgr02@example.com,Technology,Contoso Ltd
corneliushollingsworth@example.com,"Hollingsworth, Cornelius J",Claims Processing,Recovery Specialist,Claims & Operations,"Nashville, TN",US,CC-CLMS-8440,claims.mgr03@example.com,Insurance Operations,Contoso Ltd
wilhelminavoskuijlen@example.com,"Voskuijlen, Wilhelmina M",Claims Processing,Claims Auditor,Claims & Operations,"Minnetonka, MN",US,CC-CLMS-8440,claims.mgr02@example.com,Insurance Operations,Contoso Ltd
dashielljessamine@example.com,"Jessamine, Dashiell R",Clinical Operations,Care Coordinator,Clinical & Care,"Atlanta, GA",US,CC-CLIN-6351,clinical.mgr03@example.com,Health Services,Contoso Ltd
zinniagrimsby@example.com,"Grimsby, Zinnia S",Network Management,Network Analyst,Data & Analytics,"Nashville, TN",US,CC-NTWK-9430,network.mgr02@example.com,Health Services,Contoso Ltd
rosalindlattimore@example.com,"Lattimore, Rosalind T",Member Services,CSR,Member & Customer Support,Hyderabad,IN,CC-MBRS-3434,member.mgr02@example.com,Health Services,Contoso Ltd
rosamundthornbury@example.com,"Thornbury, Rosamund H",Claims Processing,Claims Auditor,Claims & Operations,Hyderabad,IN,CC-CLMS-5672,claims.mgr01@example.com,Insurance Operations,Contoso Ltd
horatioprendergast@example.com,"Prendergast, Horatio E",Member Services,Escalations Lead,Member & Customer Support,"Phoenix, AZ",US,CC-MBRS-1678,member.mgr02@example.com,Health Services,Contoso Ltd
clementinedunmore@example.com,"Dunmore, Clementine E",Government Programs,Medicaid Liaison,Claims & Operations,"Minnetonka, MN",US,CC-GOVT-6906,government.mgr03@example.com,Insurance Operations,Contoso Ltd
philippajessamine@example.com,"Jessamine, Philippa J",Member Services,Escalations Lead,Member & Customer Support,"Nashville, TN",US,CC-MBRS-1678,member.mgr02@example.com,Health Services,Contoso Ltd
leopoldabernathy@example.com,"Abernathy, Leopold D",Data & Analytics,Data Scientist,Data & Analytics,Bengaluru,IN,CC-DATA-2363,data.mgr02@example.com,Technology,Contoso Ltd
marloweedgecombe@example.com,"Edgecombe, Marlowe K",Network Management,Contract Negotiator,Sales & Accounts,"Phoenix, AZ",US,CC-NTWK-9430,network.mgr02@example.com,Health Services,Contoso Ltd
theodorasinclair@example.com,"Sinclair, Theodora P",Government Programs,Medicare Analyst,Claims & Operations,"Minnetonka, MN",US,CC-GOVT-6906,government.mgr02@example.com,Insurance Operations,Contoso Ltd
zephyrinevoskuijlen@example.com,"Voskuijlen, Zephyrine R",Human Resources,Recruiter,Corporate (HR/Legal/Mktg),"Nashville, TN",US,CC-HRXX-9770,human.mgr02@example.com,Corporate Functions,Contoso Ltd
margueritebraithwaite@example.com,"Braithwaite, Marguerite R",Clinical Operations,Care Coordinator,Clinical & Care,"Nashville, TN",US,CC-CLIN-6351,clinical.mgr03@example.com,Health Services,Contoso Ltd
bartholomewgrimsby@example.com,"Grimsby, Bartholomew T",Clinical Operations,RN Care Manager,Clinical & Care,"Nashville, TN",US,CC-CLIN-6351,clinical.mgr02@example.com,Health Services,Contoso Ltd
wilhelmduckworth@example.com,"Duckworth, Wilhelm L",Network Management,Contract Negotiator,Sales & Accounts,"Hartford, CT",US,CC-NTWK-9430,network.mgr03@example.com,Health Services,Contoso Ltd
zephyrinekirkpatrick@example.com,"Kirkpatrick, Zephyrine N",IT Service Desk,Tier 2 Tech,Engineering & IT,Manila,PH,CC-ITSD-8003,it.mgr01@example.com,Technology,Contoso Ltd
bramwellnorthcote@example.com,"Northcote, Bramwell L",Data & Analytics,ML Engineer,Data & Analytics,"Nashville, TN",US,CC-DATA-9141,data.mgr01@example.com,Technology,Contoso Ltd
lachlankensington2@example.com,"Kensington, Lachlan J",Product Management,Group PM,Product & Program,"Hartford, CT",US,CC-PROD-5415,product.mgr02@example.com,Technology,Contoso Ltd
casimirkensington@example.com,"Kensington, Casimir E",IT Service Desk,Desktop Admin,Engineering & IT,Manila,PH,CC-ITSD-8003,it.mgr01@example.com,Technology,Contoso Ltd
zinniakettering@example.com,"Kettering, Zinnia F",Clinical Operations,RN Care Manager,Clinical & Care,"Hartford, CT",US,CC-CLIN-6351,clinical.mgr02@example.com,Health Services,Contoso Ltd
zinniahollingsworth@example.com,"Hollingsworth, Zinnia C",Clinical Operations,Clinical Analyst,Clinical & Care,"Hartford, CT",US,CC-CLIN-6351,clinical.mgr02@example.com,Health Services,Contoso Ltd
thibaultwexford@example.com,"Wexford, Thibault W",Human Resources,Comp Analyst,Corporate (HR/Legal/Mktg),"Atlanta, GA",US,CC-HRXX-9770,human.mgr02@example.com,Corporate Functions,Contoso Ltd
corwintremaine@example.com,"Tremaine, Corwin F",Clinical Operations,Clinical Analyst,Clinical & Care,Dublin,IE,CC-CLIN-6316,clinical.mgr01@example.com,Health Services,Contoso Ltd
rosalindjorgensen@example.com,"Jorgensen, Rosalind F",Network Management,Contract Negotiator,Sales & Accounts,"Atlanta, GA",US,CC-NTWK-9430,network.mgr03@example.com,Health Services,Contoso Ltd
ottiliecarmichael2@example.com,"Carmichael, Ottilie F",Finance,Accountant,Finance & Actuarial,"Phoenix, AZ",US,CC-FINX-3369,finance.mgr03@example.com,Corporate Functions,Contoso Ltd
margueriterosewarne@example.com,"Rosewarne, Marguerite T",Actuarial & Underwriting,Pricing Analyst,Finance & Actuarial,"Hartford, CT",US,CC-ACTR-9631,actuarial.mgr02@example.com,Insurance Operations,Contoso Ltd
zinniamowbray@example.com,"Mowbray, Zinnia E",Claims Processing,Claims Auditor,Claims & Operations,"Minnetonka, MN",US,CC-CLMS-8440,claims.mgr02@example.com,Insurance Operations,Contoso Ltd
cordeliaulverston@example.com,"Ulverston, Cordelia J",Member Services,CSR,Member & Customer Support,"Phoenix, AZ",US,CC-MBRS-1678,member.mgr02@example.com,Health Services,Contoso Ltd
antigonequartermaine@example.com,"Quartermaine, Antigone B",Finance,Accountant,Finance & Actuarial,"Atlanta, GA",US,CC-FINX-3369,finance.mgr01@example.com,Corporate Functions,Contoso Ltd
verityjessamine@example.com,"Jessamine, Verity J",Sales (Employer Group),Renewal Manager,Sales & Accounts,"Minnetonka, MN",US,CC-SLES-1836,sales.mgr02@example.com,Corporate Functions,Contoso Ltd
casimirstroganov@example.com,"Stroganov, Casimir L",Data & Analytics,ML Engineer,Data & Analytics,Bengaluru,IN,CC-DATA-2363,data.mgr02@example.com,Technology,Contoso Ltd
cassianockendon@example.com,"Ockendon, Cassian A",Human Resources,Comp Analyst,Corporate (HR/Legal/Mktg),"Nashville, TN",US,CC-HRXX-9770,human.mgr03@example.com,Corporate Functions,Contoso Ltd
horatioziegler@example.com,"Ziegler, Horatio K",Clinical Operations,RN Care Manager,Clinical & Care,"Phoenix, AZ",US,CC-CLIN-6351,clinical.mgr02@example.com,Health Services,Contoso Ltd
bramwellquennell@example.com,"Quennell, Bramwell K",Sales (Employer Group),Sales Engineer,Sales & Accounts,"Atlanta, GA",US,CC-SLES-1836,sales.mgr02@example.com,Corporate Functions,Contoso Ltd
barnabyvillanueva@example.com,"Villanueva, Barnaby G",Claims Processing,Claims Examiner,Claims & Operations,Manila,PH,CC-CLMS-9685,claims.mgr03@example.com,Insurance Operations,Contoso Ltd
silvanusgalbraith@example.com,"Galbraith, Silvanus D",Network Management,Network Analyst,Data & Analytics,"Nashville, TN",US,CC-NTWK-9430,network.mgr02@example.com,Health Services,Contoso Ltd
fitzgeraldprendergast@example.com,"Prendergast, Fitzgerald G",Network Management,Provider Relations,Member & Customer Support,"Atlanta, GA",US,CC-NTWK-9430,network.mgr03@example.com,Health Services,Contoso Ltd
viviennetremaine@example.com,"Tremaine, Vivienne F",Member Services,CSR,Member & Customer Support,"Nashville, TN",US,CC-MBRS-1678,member.mgr03@example.com,Health Services,Contoso Ltd
casimirquartermaine@example.com,"Quartermaine, Casimir H",Clinical Operations,Clinical Analyst,Clinical & Care,"Atlanta, GA",US,CC-CLIN-6351,clinical.mgr03@example.com,Health Services,Contoso Ltd
peregrinefairbanks@example.com,"Fairbanks, Peregrine T",Pharmacy Benefits,Pharmacy Tech,Clinical & Care,"Phoenix, AZ",US,CC-RXBM-7797,pharmacy.mgr01@example.com,Health Services,Contoso Ltd
persephonenethercott2@example.com,"Nethercott, Persephone H",Clinical Operations,Clinical Analyst,Clinical & Care,"Atlanta, GA",US,CC-CLIN-6351,clinical.mgr02@example.com,Health Services,Contoso Ltd
nikolaisatterthwaite@example.com,"Satterthwaite, Nikolai C",Marketing,Content Strategist,Corporate (HR/Legal/Mktg),"Minnetonka, MN",US,CC-MKTG-7836,marketing.mgr02@example.com,Corporate Functions,Contoso Ltd
marisolebletchley@example.com,"Bletchley, Marisole M",Member Services,CSR,Member & Customer Support,"Phoenix, AZ",US,CC-MBRS-1678,member.mgr03@example.com,Health Services,Contoso Ltd
bartholomewlattimore@example.com,"Lattimore, Bartholomew B",Sales (Employer Group),Sales Engineer,Sales & Accounts,"Atlanta, GA",US,CC-SLES-1836,sales.mgr03@example.com,Corporate Functions,Contoso Ltd
ottolineunderhill@example.com,"Underhill, Ottoline W",Engineering,Software Engineer,Engineering & IT,"Atlanta, GA",US,CC-ENGR-9639,engineering.mgr03@example.com,Technology,Contoso Ltd
ferdinandwollstonecraft@example.com,"Wollstonecraft, Ferdinand H",Member Services,Quality Analyst,Member & Customer Support,"Nashville, TN",US,CC-MBRS-1678,member.mgr02@example.com,Health Services,Contoso Ltd
bartholomewnorthcote@example.com,"Northcote, Bartholomew D",Actuarial & Underwriting,Pricing Analyst,Finance & Actuarial,"Phoenix, AZ",US,CC-ACTR-9631,actuarial.mgr01@example.com,Insurance Operations,Contoso Ltd
philippainglethorpe@example.com,"Inglethorpe, Philippa N",Data & Analytics,BI Engineer,Data & Analytics,"Phoenix, AZ",US,CC-DATA-9141,data.mgr01@example.com,Technology,Contoso Ltd
leopoldlindqvist@example.com,"Lindqvist, Leopold G",Marketing,Brand Lead,Corporate (HR/Legal/Mktg),"Nashville, TN",US,CC-MKTG-7836,marketing.mgr01@example.com,Corporate Functions,Contoso Ltd
arabellarosewarne@example.com,"Rosewarne, Arabella L",Finance,FP&A Manager,Finance & Actuarial,"Minnetonka, MN",US,CC-FINX-3369,finance.mgr01@example.com,Corporate Functions,Contoso Ltd
ambrosevoskuijlen@example.com,"Voskuijlen, Ambrose K",Human Resources,Recruiter,Corporate (HR/Legal/Mktg),"Nashville, TN",US,CC-HRXX-9770,human.mgr02@example.com,Corporate Functions,Contoso Ltd
leopolddarlington@example.com,"Darlington, Leopold T",Actuarial & Underwriting,Pricing Analyst,Finance & Actuarial,"Minnetonka, MN",US,CC-ACTR-9631,actuarial.mgr02@example.com,Insurance Operations,Contoso Ltd
rosamundquartermaine@example.com,"Quartermaine, Rosamund E",Clinical Operations,Care Coordinator,Clinical & Care,"Nashville, TN",US,CC-CLIN-6351,clinical.mgr03@example.com,Health Services,Contoso Ltd
leopoldthornbury@example.com,"Thornbury, Leopold T",Government Programs,Policy Analyst,Claims & Operations,"Minnetonka, MN",US,CC-GOVT-6906,government.mgr03@example.com,Insurance Operations,Contoso Ltd
percytremaine@example.com,"Tremaine, Percy F",Engineering,Platform Engineer,Engineering & IT,Hyderabad,IN,CC-ENGR-3318,engineering.mgr03@example.com,Technology,Contoso Ltd
horatiovoskuijlen@example.com,"Voskuijlen, Horatio T",Government Programs,Medicare Analyst,Claims & Operations,"Minnetonka, MN",US,CC-GOVT-6906,government.mgr03@example.com,Insurance Operations,Contoso Ltd
thibaultmowbray@example.com,"Mowbray, Thibault T",Network Management,Contract Negotiator,Sales & Accounts,"Hartford, CT",US,CC-NTWK-9430,network.mgr03@example.com,Health Services,Contoso Ltd
casimiroxenford@example.com,"Oxenford, Casimir J",Claims Processing,Recovery Specialist,Claims & Operations,"Minnetonka, MN",US,CC-CLMS-8440,claims.mgr03@example.com,Insurance Operations,Contoso Ltd
yorickharrington@example.com,"Harrington, Yorick P",Finance,Financial Analyst,Finance & Actuarial,"Phoenix, AZ",US,CC-FINX-3369,finance.mgr01@example.com,Corporate Functions,Contoso Ltd
xantheattenborough@example.com,"Attenborough, Xanthe T",Data & Analytics,ML Engineer,Data & Analytics,Bengaluru,IN,CC-DATA-2363,data.mgr03@example.com,Technology,Contoso Ltd
endellionthornbury@example.com,"Thornbury, Endellion C",Data & Analytics,BI Engineer,Data & Analytics,"Atlanta, GA",US,CC-DATA-9141,data.mgr02@example.com,Technology,Contoso Ltd
wendelineduckworth@example.com,"Duckworth, Wendeline K",Claims Processing,Claims Examiner,Claims & Operations,"Minnetonka, MN",US,CC-CLMS-8440,claims.mgr01@example.com,Insurance Operations,Contoso Ltd
clementineziegler@example.com,"Ziegler, Clementine W",Claims Processing,Claims Examiner,Claims & Operations,"Atlanta, GA",US,CC-CLMS-8440,claims.mgr03@example.com,Insurance Operations,Contoso Ltd
calanthefairbanks@example.com,"Fairbanks, Calanthe F",Product Management,PM,Product & Program,"Atlanta, GA",US,CC-PROD-5415,product.mgr03@example.com,Technology,Contoso Ltd
fennimoreravenscroft@example.com,"Ravenscroft, Fennimore W",Clinical Operations,Clinical Analyst,Clinical & Care,"Minnetonka, MN",US,CC-CLIN-6351,clinical.mgr01@example.com,Health Services,Contoso Ltd
bramwellillingworth@example.com,"Illingworth, Bramwell M",Actuarial & Underwriting,Actuary,Finance & Actuarial,"Atlanta, GA",US,CC-ACTR-9631,actuarial.mgr03@example.com,Insurance Operations,Contoso Ltd
hesperquennell@example.com,"Quennell, Hesper R",Marketing,Marketing Manager,Corporate (HR/Legal/Mktg),"Nashville, TN",US,CC-MKTG-7836,marketing.mgr03@example.com,Corporate Functions,Contoso Ltd
ignatiuslattimore@example.com,"Lattimore, Ignatius D",Data & Analytics,BI Engineer,Data & Analytics,"Atlanta, GA",US,CC-DATA-9141,data.mgr02@example.com,Technology,Contoso Ltd
beatrixcarmichael@example.com,"Carmichael, Beatrix K",IT Service Desk,Tier 2 Tech,Engineering & IT,"Nashville, TN",US,CC-ITSD-5368,it.mgr02@example.com,Technology,Contoso Ltd
rosamundillingworth@example.com,"Illingworth, Rosamund D",Member Services,Quality Analyst,Member & Customer Support,Manila,PH,CC-MBRS-8205,member.mgr01@example.com,Health Services,Contoso Ltd
everardkettering@example.com,"Kettering, Everard J",Data & Analytics,Data Analyst,Data & Analytics,Dublin,IE,CC-DATA-8847,data.mgr02@example.com,Technology,Contoso Ltd
thaddeusnethercott@example.com,"Nethercott, Thaddeus G",Claims Processing,Claims Auditor,Claims & Operations,"Nashville, TN",US,CC-CLMS-8440,claims.mgr02@example.com,Insurance Operations,Contoso Ltd
elowendunmore@example.com,"Dunmore, Elowen K",Clinical Operations,Clinical Analyst,Clinical & Care,"Nashville, TN",US,CC-CLIN-6351,clinical.mgr02@example.com,Health Services,Contoso Ltd
percivalvandersloot@example.com,"Vandersloot, Percival G",Product Management,PM,Product & Program,"Nashville, TN",US,CC-PROD-5415,product.mgr02@example.com,Technology,Contoso Ltd
reginaldulverston@example.com,"Ulverston, Reginald T",Clinical Operations,Clinical Analyst,Clinical & Care,"Nashville, TN",US,CC-CLIN-6351,clinical.mgr01@example.com,Health Services,Contoso Ltd
zinniaquartermaine@example.com,"Quartermaine, Zinnia K",Member Services,Quality Analyst,Member & Customer Support,"Minnetonka, MN",US,CC-MBRS-1678,member.mgr03@example.com,Health Services,Contoso Ltd
thaddeusjorgensen@example.com,"Jorgensen, Thaddeus B",Network Management,Network Analyst,Data & Analytics,"Atlanta, GA",US,CC-NTWK-9430,network.mgr01@example.com,Health Services,Contoso Ltd
balthazarmerriweather@example.com,"Merriweather, Balthazar T",Finance,Financial Analyst,Finance & Actuarial,"Minnetonka, MN",US,CC-FINX-3369,finance.mgr02@example.com,Corporate Functions,Contoso Ltd
xantheharrington2@example.com,"Harrington, Xanthe W",Network Management,Provider Relations,Member & Customer Support,"Hartford, CT",US,CC-NTWK-9430,network.mgr03@example.com,Health Services,Contoso Ltd
silvanusockendon@example.com,"Ockendon, Silvanus M",Member Services,Escalations Lead,Member & Customer Support,Manila,PH,CC-MBRS-8205,member.mgr03@example.com,Health Services,Contoso Ltd
thibaultcarmichael@example.com,"Carmichael, Thibault A",Engineering,Platform Engineer,Engineering & IT,"Hartford, CT",US,CC-ENGR-9639,engineering.mgr03@example.com,Technology,Contoso Ltd
ottilielindqvist@example.com,"Lindqvist, Ottilie J",Network Management,Provider Relations,Member & Customer Support,"Atlanta, GA",US,CC-NTWK-9430,network.mgr01@example.com,Health Services,Contoso Ltd
clementineillingworth@example.com,"Illingworth, Clementine W",Sales (Employer Group),Sales Engineer,Sales & Accounts,"Nashville, TN",US,CC-SLES-1836,sales.mgr02@example.com,Corporate Functions,Contoso Ltd
bexleykirkpatrick@example.com,"Kirkpatrick, Bexley F",Clinical Operations,Care Coordinator,Clinical & Care,"Phoenix, AZ",US,CC-CLIN-6351,clinical.mgr02@example.com,Health Services,Contoso Ltd
octavianblackwood@example.com,"Blackwood, Octavian F",Member Services,CSR,Member & Customer Support,"Phoenix, AZ",US,CC-MBRS-1678,member.mgr01@example.com,Health Services,Contoso Ltd
luciusockendon@example.com,"Ockendon, Lucius M",Member Services,Escalations Lead,Member & Customer Support,"Minnetonka, MN",US,CC-MBRS-1678,member.mgr01@example.com,Health Services,Contoso Ltd
ottolinecrenshaw@example.com,"Crenshaw, Ottoline R",Claims Processing,Recovery Specialist,Claims & Operations,"Nashville, TN",US,CC-CLMS-8440,claims.mgr02@example.com,Insurance Operations,Contoso Ltd
thaddeusabernathy@example.com,"Abernathy, Thaddeus J",Claims Processing,Claims Examiner,Claims & Operations,"Atlanta, GA",US,CC-CLMS-8440,claims.mgr01@example.com,Insurance Operations,Contoso Ltd
seraphinanethercott@example.com,"Nethercott, Seraphina K",Sales (Employer Group),Renewal Manager,Sales & Accounts,"Nashville, TN",US,CC-SLES-1836,sales.mgr02@example.com,Corporate Functions,Contoso Ltd
theodorabeaumont@example.com,"Beaumont, Theodora F",Engineering,Platform Engineer,Engineering & IT,Bengaluru,IN,CC-ENGR-3318,engineering.mgr01@example.com,Technology,Contoso Ltd
fitzgeraldthornbury@example.com,"Thornbury, Fitzgerald B",Human Resources,HRBP,Corporate (HR/Legal/Mktg),"Atlanta, GA",US,CC-HRXX-9770,human.mgr01@example.com,Corporate Functions,Contoso Ltd
georgianablackwood@example.com,"Blackwood, Georgiana N",IT Service Desk,Tier 2 Tech,Engineering & IT,Manila,PH,CC-ITSD-8003,it.mgr02@example.com,Technology,Contoso Ltd
octavianyelverton@example.com,"Yelverton, Octavian A",Clinical Operations,Care Coordinator,Clinical & Care,"Nashville, TN",US,CC-CLIN-6351,clinical.mgr03@example.com,Health Services,Contoso Ltd
clementinegodfrey@example.com,"Godfrey, Clementine D",Member Services,Quality Analyst,Member & Customer Support,"Atlanta, GA",US,CC-MBRS-1678,member.mgr02@example.com,Health Services,Contoso Ltd
dashiellravenscroft@example.com,"Ravenscroft, Dashiell M",Product Management,Sr PM,Product & Program,"Hartford, CT",US,CC-PROD-5415,product.mgr03@example.com,Technology,Contoso Ltd
marisolequartermaine@example.com,"Quartermaine, Marisole M",IT Service Desk,Tier 1 Tech,Engineering & IT,"Hartford, CT",US,CC-ITSD-5368,it.mgr01@example.com,Technology,Contoso Ltd
delphinetrelawney@example.com,"Trelawney, Delphine N",Engineering,Eng Manager,Management & Leadership,"Phoenix, AZ",US,CC-ENGR-9639,engineering.mgr03@example.com,Technology,Contoso Ltd
leopolddunmore@example.com,"Dunmore, Leopold J",IT Service Desk,Tier 2 Tech,Engineering & IT,"Phoenix, AZ",US,CC-ITSD-5368,it.mgr03@example.com,Technology,Contoso Ltd
thibaultmerriweather@example.com,"Merriweather, Thibault G",Member Services,Escalations Lead,Member & Customer Support,"Atlanta, GA",US,CC-MBRS-1678,member.mgr02@example.com,Health Services,Contoso Ltd
antigoneziegler@example.com,"Ziegler, Antigone D",Clinical Operations,Care Coordinator,Clinical & Care,"Hartford, CT",US,CC-CLIN-6351,clinical.mgr03@example.com,Health Services,Contoso Ltd
antheakirkpatrick@example.com,"Kirkpatrick, Anthea W",Engineering,SRE,Engineering & IT,Bengaluru,IN,CC-ENGR-3318,engineering.mgr01@example.com,Technology,Contoso Ltd
luciusoxenford@example.com,"Oxenford, Lucius B",Clinical Operations,Care Coordinator,Clinical & Care,"Nashville, TN",US,CC-CLIN-6351,clinical.mgr03@example.com,Health Services,Contoso Ltd
dashiellcarmichael2@example.com,"Carmichael, Dashiell S",Network Management,Contract Negotiator,Sales & Accounts,"Hartford, CT",US,CC-NTWK-9430,network.mgr01@example.com,Health Services,Contoso Ltd
persephonevillanueva@example.com,"Villanueva, Persephone N",Claims Processing,Claims Examiner,Claims & Operations,"Hartford, CT",US,CC-CLMS-8440,claims.mgr01@example.com,Insurance Operations,Contoso Ltd
raffertybraithwaite@example.com,"Braithwaite, Rafferty B",Engineering,SRE,Engineering & IT,"Hartford, CT",US,CC-ENGR-9639,engineering.mgr03@example.com,Technology,Contoso Ltd
seraphinasinclair2@example.com,"Sinclair, Seraphina F",Claims Processing,Claims Examiner,Claims & Operations,"Atlanta, GA",US,CC-CLMS-8440,claims.mgr01@example.com,Insurance Operations,Contoso Ltd
thaddeusunderhill@example.com,"Underhill, Thaddeus G",Data & Analytics,BI Engineer,Data & Analytics,Hyderabad,IN,CC-DATA-2363,data.mgr01@example.com,Technology,Contoso Ltd
corneliuslocksley@example.com,"Locksley, Cornelius M",Marketing,Content Strategist,Corporate (HR/Legal/Mktg),"Atlanta, GA",US,CC-MKTG-7836,marketing.mgr03@example.com,Corporate Functions,Contoso Ltd
wendelineainsworth@example.com,"Ainsworth, Wendeline P",Clinical Operations,Care Coordinator,Clinical & Care,"Hartford, CT",US,CC-CLIN-6351,clinical.mgr02@example.com,Health Services,Contoso Ltd
luciussatterthwaite2@example.com,"Satterthwaite, Lucius P",Claims Processing,Claims Examiner,Claims & Operations,"Hartford, CT",US,CC-CLMS-8440,claims.mgr02@example.com,Insurance Operations,Contoso Ltd
luciussatterthwaite@example.com,"Satterthwaite, Lucius N",Product Management,Sr PM,Product & Program,"Atlanta, GA",US,CC-PROD-5415,product.mgr03@example.com,Technology,Contoso Ltd
emmerichtremaine@example.com,"Tremaine, Emmerich H",Member Services,Escalations Lead,Member & Customer Support,"Phoenix, AZ",US,CC-MBRS-1678,member.mgr03@example.com,Health Services,Contoso Ltd
lachlankensington@example.com,"Kensington, Lachlan L",Clinical Operations,RN Care Manager,Clinical & Care,"Atlanta, GA",US,CC-CLIN-6351,clinical.mgr03@example.com,Health Services,Contoso Ltd
rosamundfotheringham@example.com,"Fotheringham, Rosamund J",IT Service Desk,Tier 2 Tech,Engineering & IT,Manila,PH,CC-ITSD-8003,it.mgr03@example.com,Technology,Contoso Ltd
corneliusprendergast@example.com,"Prendergast, Cornelius N",Clinical Operations,Care Coordinator,Clinical & Care,"Nashville, TN",US,CC-CLIN-6351,clinical.mgr03@example.com,Health Services,Contoso Ltd
luciusulverston@example.com,"Ulverston, Lucius P",Claims Processing,Claims Auditor,Claims & Operations,"Phoenix, AZ",US,CC-CLMS-8440,claims.mgr01@example.com,Insurance Operations,Contoso Ltd
reginaldabernathy2@example.com,"Abernathy, Reginald T",Member Services,Quality Analyst,Member & Customer Support,"Nashville, TN",US,CC-MBRS-1678,member.mgr01@example.com,Health Services,Contoso Ltd
solveigcadwallader@example.com,"Cadwallader, Solveig P",Engineering,Platform Engineer,Engineering & IT,Dublin,IE,CC-ENGR-9674,engineering.mgr02@example.com,Technology,Contoso Ltd
henriettaockendon@example.com,"Ockendon, Henrietta C",Pharmacy Benefits,PBM Analyst,Clinical & Care,"Nashville, TN",US,CC-RXBM-7797,pharmacy.mgr02@example.com,Health Services,Contoso Ltd
margueritegalbraith@example.com,"Galbraith, Marguerite L",Clinical Operations,Care Coordinator,Clinical & Care,"Phoenix, AZ",US,CC-CLIN-6351,clinical.mgr01@example.com,Health Services,Contoso Ltd
corwinnorthcote@example.com,"Northcote, Corwin A",Pharmacy Benefits,Pharmacy Tech,Clinical & Care,"Nashville, TN",US,CC-RXBM-7797,pharmacy.mgr01@example.com,Health Services,Contoso Ltd
ignatiusollivander@example.com,"Ollivander, Ignatius N",Sales (Employer Group),Account Executive,Sales & Accounts,"Phoenix, AZ",US,CC-SLES-1836,sales.mgr03@example.com,Corporate Functions,Contoso Ltd
ottilieulverston@example.com,"Ulverston, Ottilie L",Pharmacy Benefits,Pharmacy Tech,Clinical & Care,"Nashville, TN",US,CC-RXBM-7797,pharmacy.mgr01@example.com,Health Services,Contoso Ltd
octavianuxbridge@example.com,"Uxbridge, Octavian B",Claims Processing,Claims Examiner,Claims & Operations,"Minnetonka, MN",US,CC-CLMS-8440,claims.mgr02@example.com,Insurance Operations,Contoso Ltd
reginaldwollstonecraft@example.com,"Wollstonecraft, Reginald H",Human Resources,Comp Analyst,Corporate (HR/Legal/Mktg),"Hartford, CT",US,CC-HRXX-9770,human.mgr03@example.com,Corporate Functions,Contoso Ltd
cassianvillanueva@example.com,"Villanueva, Cassian S",Data & Analytics,Data Analyst,Data & Analytics,"Minnetonka, MN",US,CC-DATA-9141,data.mgr01@example.com,Technology,Contoso Ltd
hesperpennington@example.com,"Pennington, Hesper F",Member Services,Escalations Lead,Member & Customer Support,Manila,PH,CC-MBRS-8205,member.mgr02@example.com,Health Services,Contoso Ltd
